Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,Patient Survey Star Rating
330009,BRONXCARE HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,7,5,0,5,0,,8,6,2,4,0,,11,5,0,4,1,,8,8,,12,9,,2.0
330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,QUEENS,(718) 262-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,7,6,0,6,0,,8,6,1,5,0,,11,6,0,4,2,,8,8,,12,9,,1.0
330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1,,7,6,0,6,0,,8,2,0,2,0,,11,6,0,3,3,,8,8,,12,8,,1.0
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,7,3,4,0,,8,8,3,5,0,,11,11,0,11,0,,8,8,,12,11,,3.0
330028,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,10310,RICHMOND,(718) 354-5047,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,7,6,0,6,0,,8,7,0,7,0,,11,10,0,9,1,,8,8,,12,6,,2.0
330046,MOUNT SINAI ST LUKE'S ROOSEVELT HOSPITAL,1000 TENTH AVENUE,NEW YORK,NY,10019,NEW YORK,(212) 523-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,7,3,4,0,,8,8,2,6,0,,11,11,0,9,2,,8,8,,12,10,,2.0
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,QUEENS,(718) 670-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,6,3,3,0,,8,7,4,3,0,,11,10,0,8,2,,8,8,,12,10,,2.0
330056,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,121 DEKALB AVENUE,BROOKLYN,NY,11201,KINGS,(718) 250-8000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,,7,5,0,5,0,,8,8,1,7,0,,11,10,0,8,2,,8,8,,12,9,,2.0
330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,7,3,4,0,,8,8,1,6,1,,11,11,1,8,2,,8,8,,12,10,,2.0
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,BRONX,(718) 579-5000,Acute Care Hospitals,Government - Local,Yes,Y,1,,7,4,0,4,0,,8,6,3,3,0,,11,5,0,5,0,,8,8,,12,9,,1.0
330100,NY EYE AND EAR INFIRMARY OF MOUNT SINAI,230 SECOND AVE,NEW YORK,NY,10003,NEW YORK,(212) 979-4000,Acute Care Hospitals,Voluntary non-profit - Private,No,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,3,,
330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,NY,10065,NEW YORK,(212) 746-5454,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,7,7,5,2,0,,8,8,3,5,0,,11,11,3,6,2,,8,8,,12,12,,3.0
330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NY,10075,NEW YORK,(212) 434-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,7,3,4,0,,8,8,2,6,0,,11,11,1,10,0,,8,8,,12,10,,2.0
330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,BRONX,(718) 918-5000,Acute Care Hospitals,Government - Local,Yes,Y,1,,7,6,0,6,0,,8,6,1,4,1,,11,6,0,5,1,,8,8,,12,9,,1.0
330128,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,ELMHURST,NY,11373,QUEENS,(718) 334-1141,Acute Care Hospitals,Government - Local,Yes,Y,2,,7,5,0,5,0,,8,6,2,4,0,,11,7,0,7,0,,8,8,,12,9,,2.0
330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,RICHMOND,(418) 226-9761,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,7,0,7,0,,8,8,2,5,1,,11,11,0,9,2,,8,8,,12,10,,2.0
330169,MOUNT SINAI BETH ISRAEL,281 1ST AVE,NEW YORK,NY,10003,NEW YORK,(212) 420-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,7,6,3,3,0,,8,6,2,4,0,,11,9,0,7,2,,8,8,,12,10,,2.0
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,(718) 584-9000,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,3,,7,4,0,4,0,,8,4,0,4,0,,11,4,0,4,0,,8,8,,12,5,,3.0
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,(212) 686-7500,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,2,,7,5,1,4,0,,8,2,0,2,0,,11,6,0,4,2,,8,8,,12,6,,3.0
330193,FLUSHING HOSPITAL MEDICAL CENTER,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,NY,11355,QUEENS,(718) 670-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,5,0,5,0,,8,6,3,3,0,,11,5,0,4,1,,8,8,,12,9,,2.0
330194,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,NY,11219,KINGS,(718) 283-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,7,4,3,0,,8,8,1,7,0,,11,11,0,7,4,,8,8,,12,10,,2.0
330196,SOUTH BROOKLYN HEALTH,2601 OCEAN PARKWAY,BROOKLYN,NY,11235,KINGS,(718) 616-3000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,1,,7,6,0,6,0,,8,6,2,4,0,,11,7,0,4,3,,8,8,,12,10,,3.0
330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,Acute Care Hospitals,Government - Local,Yes,Y,3,,7,2,0,2,0,,8,6,2,4,0,,11,3,0,3,0,,8,8,,12,8,,2.0
330202,KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVENUE,BROOKLYN,NY,11203,KINGS,(718) 245-3901,Acute Care Hospitals,Government - Local,Yes,Y,1,,7,5,0,5,0,,8,6,2,4,0,,11,4,0,3,1,,8,8,,12,9,,2.0
330204,BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,NEW YORK,NY,10016,NEW YORK,(212) 561-4132,Acute Care Hospitals,Government - Local,Yes,Y,2,,7,5,0,5,0,,8,6,1,3,2,,11,6,0,5,1,,8,8,,12,9,,2.0
33020F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN,800 POLY PLACE,BROOKLYN,NY,11209,KINGS,(718) 836-6600,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,,7,4,1,3,0,,8,4,0,4,0,,11,5,0,5,0,,8,Not Available,5,12,Not Available,5,
330214,NYU LANGONE HOSPITALS,550 FIRST AVENUE,NEW YORK,NY,10016,NEW YORK,(212) 263-7300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,7,7,7,0,0,,8,8,5,3,0,,11,11,5,5,1,,8,8,,12,11,,3.0
330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,5,0,5,0,,8,6,1,5,0,,11,6,0,5,1,,8,8,,12,9,,2.0
330231,QUEENS HOSPITAL CENTER,82-68 164TH STREET,JAMAICA,NY,11432,QUEENS,(718) 883-3000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,,7,4,0,4,0,,8,6,3,3,0,,11,4,0,3,1,,8,8,,12,9,,3.0
330233,BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,NY,11212,KINGS,(718) 240-5966,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,7,6,0,6,0,,8,6,1,4,1,,11,6,0,4,2,,8,8,,12,9,,1.0
330240,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,NY,10037,NEW YORK,(212) 939-1000,Acute Care Hospitals,Government - Local,Yes,Y,1,,7,3,0,3,0,,8,6,1,5,0,,11,5,0,2,3,,8,8,,12,9,,1.0
330270,HOSPITAL FOR SPECIAL SURGERY,535 EAST 70TH STREET,NEW YORK,NY,10021,NEW YORK,(212) 606-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5,,7,1,0,1,0,,8,5,1,4,0,,11,3,3,0,0,,8,8,,12,4,,4.0
330350,SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN,445 LENOX ROAD,BROOKLYN,NY,11203,KINGS,(718) 270-1000,Acute Care Hospitals,Government - State,Yes,Y,1,,7,4,0,4,0,,8,6,1,5,0,,11,6,0,4,2,,8,8,,12,9,,
330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,327 BEACH 19TH STREET,FAR ROCKAWAY,NY,11691,QUEENS,(718) 869-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,7,5,0,4,1,,8,5,0,4,1,,11,5,0,2,3,,8,8,,12,9,,1.0
330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,KINGS,(718) 963-8100,Acute Care Hospitals,Government - Local,Yes,Y,1,,7,2,0,2,0,,8,5,1,3,1,,11,3,0,2,1,,8,8,,12,10,,2.0
330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,BRONX,(212) 960-9000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,7,3,0,3,0,,8,6,2,3,1,,11,5,0,5,0,,8,8,,12,8,,1.0
334004,CREEDMOOR PSYCHIATRIC CENTER,80-45 WINCHESTER BLVD BLDG B,QUEENS VILLAGE,NY,11427,QUEENS,(718) 264-4000,Psychiatric,Government - State,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,
334009,NEW YORK STATE PSYCHIATRIC INSTITUTE,722 W 168TH ST,NEW YORK,NY,10032,NEW YORK,(212) 543-5000,Psychiatric,Government - State,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,
334043,SOUTH BEACH PSYCHIATRIC CENTER,777 SEAVIEW AVE,STATEN ISLAND,NY,10305,RICHMOND,(718) 667-2300,Psychiatric,Government - State,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,
334048,GRACIE SQUARE HOSP,420 EAST 76 ST,NEW YORK,NY,10021,NEW YORK,(212) 434-5322,Psychiatric,Voluntary non-profit - Private,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,
334053,BRONX PSYCHIATRIC CENTER,1500 WATERS PLACE,BRONX,NY,10461,BRONX,(718) 931-0600,Psychiatric,Government - State,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,
334054,MANHATTAN PSYCHIATRIC CENTER,600 E 125TH STREET,NEW YORK,NY,10035,NEW YORK,(646) 672-6767,Psychiatric,Government - State,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,
334060,KIRBY FORENSIC PSYCHIATRIC CENTER,WARD ISLAND,NEW YORK,NY,10035,NEW YORK,(212) 427-9003,Psychiatric,Government - State,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,
334063,KINGSBORO PSYCHIATRIC HOSPITAL,681 CLARKSON AVENUE,BROOKLYN,NY,11203,KINGS,(718) 221-7395,Psychiatric,Government - State,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,
334067,NEW YORK CITY CHILDRENS PSYCH CENTER,7403 COMMONWEALTH BLVD,BELLEROSE,NY,11426,QUEENS,(718) 692-2543,Psychiatric,Government - State,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,
